Virat Kohli,Batter,9
Rajat Patidar,Batter,8
Yash Dayal,Bowler,7
Liam Livingstone,All_Rounder,8
Phil Salt,Wicketkeeper_Batter,8.5
Jitesh Sharma,Wicketkeeper_Batter,7.5
Josh Hazlewood,Bowler,8.5
Rasikh Dar Salam,Bowler,6.5
Suyash Sharma,Bowler,6
Krunal Pandya,All_Rounder,7.5
Bhuvneshwar Kumar,Bowler,8
Swapnil Singh,All_Rounder,7
Tim David,All_Rounder,7.5
Romario Shepherd,All_Rounder,7
Nuwan Thushara,Bowler,7.5
Manoj Bhandage,Bowler,6.5
Jacob Bethell,All_Rounder,7
Devdutt Padikkal,Batter,7
Swastik Chikara,Batter,5.5
Mohit Rathee,All_Rounder,6
Abhinandan Singh,Bowler,5
Lungi Ngidi,Bowler,7.5
