Axar Patel,All_Rounder
Kuldeep Yadav,Bowler
Tristan Stubbs,Wicketkeeper_Batter
Abishek Porel,Wicketkeeper_Batter
Mitchell Starc,Bowler
KL Rahul,Wicketkeeper_Batter
Jake Fraser-Mcgurk,Batter
T Natarajan,Bowler
Karun Nair,Batter
Sameer Rizvi,Batter
Ashutosh Sharma,All_Rounder
Mohit Sharma,Bowler
Faf du Plessis,Batter
Mukesh Kumar,Bowler
Darshan Nalkande,All_Rounder
Vipraj Nigam,Bowler
Dushmantha Chameera,Bowler
Donovan Ferreira,Wicketkeeper_Batter
Ajay Jadav Mandal,All_Rounder
Manvanth Kumar L,All_Rounder
Madhav Tiwari,All_Rounder
Tripurana Vijay,All_Rounder
